# Measured from the monopole of the 2pcf with FKP between 30 and 65 Mpc/h
# Based on Y3/LSS/loa-v1/LSScats/v2/nonKP
# zmin, zmax, zeff, b1, b1_err
0.800 0.900 0.852 1.653 0.080
0.900 1.000 0.950 1.628 0.089
1.000 1.100 1.051 1.845 0.084
1.100 1.200 1.151 1.864 0.073
1.200 1.300 1.251 1.795 0.091
1.300 1.400 1.350 2.037 0.068
1.400 1.500 1.450 2.234 0.078
1.500 1.600 1.550 2.530 0.070
1.600 1.700 1.650 2.402 0.086
1.700 1.800 1.750 2.632 0.080
1.800 1.900 1.849 2.681 0.109
1.900 2.000 1.948 2.770 0.122
2.000 2.100 2.049 3.106 0.103
2.100 2.300 2.193 3.273 0.089
2.300 2.600 2.430 3.607 0.097
2.600 3.000 2.763 4.509 0.119
3.000 3.500 3.162 4.539 0.296
